Software,Feces,Locus,Proportion_genotyped,Genotyping_success,Mean_depth,w_genotypes,w_success
micness,5871,loc466,0.83,0.00,67.67,6,5
micness,5871,loc474,1.00,1.00,143.00,6,6
micness,5871,locAHT_H171,1.00,0.00,265.33,6,6
micness,5871,locCPH2,1.00,1.00,87.83,6,6
micness,5871,locCPH5,1.00,1.00,80.83,6,6
micness,5871,locCPH6,1.00,1.00,115.17,6,6
micness,5871,locCPH7,0.83,0.00,140.17,6,5
micness,5871,locVWF,1.00,0.83,178.33,6,6
micness,5871,locc2096,1.00,1.00,47.00,6,6
micness,5871,locu109,0.67,0.00,40.83,6,4
micness,5871,locu140,1.00,1.00,270.33,6,6
micness,5871,locu172,1.00,0.17,50.17,6,6
micness,5871,locu173,1.00,1.00,235.83,6,6
micness,5871,locu204,0.67,1.00,74.50,6,4
micness,5871,locu225,0.83,0.00,128.80,6,5
micness,5871,locu279,1.00,0.50,839.17,6,6
micness,5873,loc366,1.00,0.50,100.00,6,6
micness,5873,loc377,1.00,0.33,150.00,6,6
micness,5873,loc410,0.83,0.00,42.83,6,5
micness,5873,loc466,0.83,0.00,85.00,6,5
micness,5873,loc474,1.00,0.50,66.00,6,6
micness,5873,locAHT_H171,1.00,0.33,284.50,6,6
micness,5873,locCPH2,0.83,1.00,52.50,6,5
micness,5873,locCPH5,0.83,0.20,109.17,6,5
micness,5873,locCPH6,0.83,1.00,134.67,6,5
micness,5873,locCPH7,1.00,0.67,252.00,6,6
micness,5873,locVWF,0.83,0.80,313.67,6,5
micness,5873,locc2096,0.83,0.60,38.00,6,5
micness,5873,locu109,0.67,0.00,31.00,6,4
micness,5873,locu140,1.00,0.33,330.50,6,6
micness,5873,locu172,0.67,0.00,98.17,6,4
micness,5873,locu173,1.00,0.67,115.00,6,6
micness,5873,locu204,0.83,0.60,102.00,6,5
micness,5873,locu225,0.83,0.80,216.17,6,5
